,Accuracy,model,execmode,prompt,icl
model=command-r-plus_execmode=trace_prompt=standard_icl=8_output.json,0.6183844011142061,command-r-plus,trace,standard,8
model=command-r-plus_execmode=trace_prompt=standard_icl=6_output.json,0.6044568245125348,command-r-plus,trace,standard,6
model=Meta-Llama-3.1-8B-Instruct-Turbo_execmode=trace_prompt=standard_icl=9_output.json,0.5933147632311978,Meta-Llama-3.1-8B-Instruct-Turbo,trace,standard,9
model=command-r-plus_execmode=trace_prompt=standard_icl=9_output.json,0.5431754874651811,command-r-plus,trace,standard,9
model=command-r_execmode=trace_prompt=standard_icl=8_output.json,0.5236768802228412,command-r,trace,standard,8
model=command-r_execmode=trace_prompt=standard_icl=6_output.json,0.48746518105849584,command-r,trace,standard,6
model=command-r_execmode=trace_prompt=standard_icl=9_output.json,0.4818941504178273,command-r,trace,standard,9
model=gpt-3.5-turbo_execmode=trace_prompt=standard_icl=8_output.json,0.0,gpt-3.5-turbo,trace,standard,8
model=gpt-3.5-turbo_execmode=trace_prompt=standard_icl=9_output.json,0.0,gpt-3.5-turbo,trace,standard,9
model=gpt-3.5-turbo_execmode=trace_prompt=standard_icl=6_output.json,0.0,gpt-3.5-turbo,trace,standard,6
