,Accuracy,model,execmode,prompt,icl
model=command-r-plus_execmode=trace_prompt=standard_icl=6_output.json,0.7119029567854435,command-r-plus,trace,standard,6
model=command-r-plus_execmode=trace_prompt=standard_icl=2_output.json,0.711144806671721,command-r-plus,trace,standard,2
model=command-r-plus_execmode=trace_prompt=standard_icl=4_output.json,0.709628506444276,command-r-plus,trace,standard,4
model=command-r-plus_execmode=trace_prompt=standard_icl=8_output.json,0.6921910538286581,command-r-plus,trace,standard,8
model=gpt-3.5-turbo_execmode=trace_prompt=standard_icl=2_output.json,0.6838514025777104,gpt-3.5-turbo,trace,standard,2
model=gpt-3.5-turbo_execmode=trace_prompt=standard_icl=4_output.json,0.6595905989385898,gpt-3.5-turbo,trace,standard,4
model=command-r_execmode=trace_prompt=standard_icl=8_output.json,0.5405610310841547,command-r,trace,standard,8
model=command-r_execmode=trace_prompt=standard_icl=6_output.json,0.5140257771038665,command-r,trace,standard,6
model=command-r_execmode=trace_prompt=standard_icl=4_output.json,0.5125094768764216,command-r,trace,standard,4
model=command-r_execmode=trace_prompt=standard_icl=2_output.json,0.47687642153146326,command-r,trace,standard,2
model=gpt-3.5-turbo_execmode=trace_prompt=standard_icl=6_output.json,0.43442001516300227,gpt-3.5-turbo,trace,standard,6
