,Accuracy,model,execmode,prompt,icl
model=Meta-Llama-3.1-8B-Instruct-Turbo_execmode=trace_prompt=standard_icl=8_output.json,0.9630872483221476,Meta-Llama-3.1-8B-Instruct-Turbo,trace,standard,8
model=gpt-3.5-turbo_execmode=trace_prompt=standard_icl=2_output.json,0.9530201342281879,gpt-3.5-turbo,trace,standard,2
model=gpt-3.5-turbo_execmode=trace_prompt=standard_icl=4_output.json,0.9429530201342282,gpt-3.5-turbo,trace,standard,4
model=gpt-3.5-turbo_execmode=trace_prompt=standard_icl=6_output.json,0.9345637583892618,gpt-3.5-turbo,trace,standard,6
model=command-r-plus_execmode=trace_prompt=standard_icl=4_output.json,0.9043624161073825,command-r-plus,trace,standard,4
model=command-r-plus_execmode=trace_prompt=standard_icl=6_output.json,0.8976510067114094,command-r-plus,trace,standard,6
model=gpt-3.5-turbo_execmode=trace_prompt=standard_icl=8_output.json,0.8909395973154363,gpt-3.5-turbo,trace,standard,8
model=command-r_execmode=trace_prompt=standard_icl=8_output.json,0.8456375838926175,command-r,trace,standard,8
model=command-r_execmode=trace_prompt=standard_icl=6_output.json,0.8053691275167785,command-r,trace,standard,6
model=command-r_execmode=trace_prompt=standard_icl=2_output.json,0.7919463087248322,command-r,trace,standard,2
model=command-r_execmode=trace_prompt=standard_icl=4_output.json,0.7567114093959731,command-r,trace,standard,4
model=command-r-plus_execmode=trace_prompt=standard_icl=8_output.json,0.7399328859060402,command-r-plus,trace,standard,8
model=command-r-plus_execmode=trace_prompt=standard_icl=2_output.json,0.5939597315436241,command-r-plus,trace,standard,2
model=Meta-Llama-3-8B_execmode=trace_prompt=standard_icl=1_output.json,0.24496644295302014,Meta-Llama-3-8B,trace,standard,1
model=Meta-Llama-3-8B_execmode=trace_prompt=standard_icl=2_output.json,0.17953020134228187,Meta-Llama-3-8B,trace,standard,2
