,Accuracy,model,execmode,prompt,icl
model=command-r_execmode=trace_prompt=standard_icl=2_output.json,0.5960698689956332,command-r,trace,standard,2
model=command-r_execmode=trace_prompt=standard_icl=4_output.json,0.5615720524017467,command-r,trace,standard,4
model=command-r-plus_execmode=trace_prompt=standard_icl=6_output.json,0.5563318777292576,command-r-plus,trace,standard,6
model=command-r-plus_execmode=trace_prompt=standard_icl=4_output.json,0.5489082969432314,command-r-plus,trace,standard,4
model=command-r-plus_execmode=trace_prompt=standard_icl=2_output.json,0.5427947598253275,command-r-plus,trace,standard,2
model=command-r_execmode=trace_prompt=standard_icl=6_output.json,0.5331877729257642,command-r,trace,standard,6
model=command-r_execmode=plan_only_prompt=standard_icl=6_output.json,0.5323144104803493,command-r,plan,standard,6
model=gpt-3.5-turbo_execmode=plan_only_prompt=standard_icl=6_output.json,0.5323144104803493,gpt-3.5-turbo,plan,standard,6
model=gpt-3.5-turbo_execmode=plan_only_prompt=standard_icl=4_output.json,0.5323144104803493,gpt-3.5-turbo,plan,standard,4
model=command-r-plus_execmode=plan_only_prompt=standard_icl=6_output.json,0.5323144104803493,command-r-plus,plan,standard,6
model=command-r-plus_execmode=plan_only_prompt=standard_icl=4_output.json,0.5323144104803493,command-r-plus,plan,standard,4
model=command-r_execmode=plan_only_prompt=standard_icl=4_output.json,0.5323144104803493,command-r,plan,standard,4
model=gpt-3.5-turbo_execmode=trace_prompt=standard_icl=6_output.json,0.5235807860262008,gpt-3.5-turbo,trace,standard,6
model=gpt-3.5-turbo_execmode=trace_prompt=standard_icl=2_output.json,0.4847161572052402,gpt-3.5-turbo,trace,standard,2
